Twitter_Id,Label,Hashtags,Text
839880162586071040,sexism,"womensday, ","RT @GemmaAnneStyles: Happy #womensday to all my sassy women, classy women, nasty women \ud83d\udc8b\ud83d\udc67\ud83c\udffe\ud83d\udc96\ud83d\udc69\ud83c\udffc\u200d\ud83d\udd2c\ud83d\udc44\ud83d\udc75\ud83c\udffc my fine women, alive women, gonna fight\u2026"
839665182985097216,sexism,"adaywithoutwomen, ",RT @girlsreallyrule: The lights are out at the Statue of Liberty...that's ONE MORE woman America CANNOT do without. #adaywithoutwomen #Ligh\u2026
839581330371407883,sexism,"adaywithoutwomen, ",RT @Bennettruth: Real feminists don't play hooky. #adaywithoutwomen https:\/\/t.co\/dz5QsD5sr3
839890972477575168,sexism,"ADayWithoutWomen, WomenForTrump, MAGA, ",RT @tteegar: I'll pass on  #ADayWithoutWomen\n\n\ud83d\udc95Real women don't abandon their responsibilities\ud83d\udc95\n\n\ud83c\udf38 #WomenForTrump \ud83c\udf38\n\u2764\ufe0f\ud83c\uddfa\ud83c\uddf8#MAGA \ud83c\uddfa\ud83c\uddf8\u2764\ufe0f\n\n\ud83d\udc8b.@Just\u2026
839677985284202496,sexism,"ADayWithoutWomen, WomenForTrump, MAGA, ",RT @tteegar: I'll pass on  #ADayWithoutWomen\n\n\ud83d\udc95Real women don't abandon their responsibilities\ud83d\udc95\n\n\ud83c\udf38 #WomenForTrump \ud83c\udf38\n\u2764\ufe0f\ud83c\uddfa\ud83c\uddf8#MAGA \ud83c\uddfa\ud83c\uddf8\u2764\ufe0f\n\n\ud83d\udc8b.@Just\u2026
839752088859062272,sexism,"ADayWithoutWomen, WomenForTrump, MAGA, ",RT @tteegar: I'll pass on  #ADayWithoutWomen\n\n\ud83d\udc95Real women don't abandon their responsibilities\ud83d\udc95\n\n\ud83c\udf38 #WomenForTrump \ud83c\udf38\n\u2764\ufe0f\ud83c\uddfa\ud83c\uddf8#MAGA \ud83c\uddfa\ud83c\uddf8\u2764\ufe0f\n\n\ud83d\udc8b.@Just\u2026
839864236897681408,sexism,"WomensDay, ",RT @antonioguterres: We can\u2019t achieve any of our goals without the participation of women and girls. #WomensDay https:\/\/t.co\/2oCVEQQFMR
847548528289296385,sexism,,RT @kimzdahyun: hani:\neveryone and their mothers: stop acting like a man
846963288760029184,sexism,"counterculture, spokenword, performancepoetry, writer, songwriter, ",You've got a strong grip for a girl. https:\/\/t.co\/9xuILE3D3d #counterculture #spokenword #performancepoetry #writer  #songwriter
847242635269951488,sexism,,"\""she parties like a man but loves like a woman\"""
839682676449755136,sexism,"ADayWithoutWomen, ","RT @KazeSkyz: \""The reason liberal women are liberal is because they have to date liberal men\"" \n\n-@AnnCoulter\n\n#ADayWithoutWomen @anntensity"
839876116336820225,sexism,"womensday, ","RT @GemmaAnneStyles: Happy #womensday to all my sassy women, classy women, nasty women \ud83d\udc8b\ud83d\udc67\ud83c\udffe\ud83d\udc96\ud83d\udc69\ud83c\udffc\u200d\ud83d\udd2c\ud83d\udc44\ud83d\udc75\ud83c\udffc my fine women, alive women, gonna fight\u2026"
839833757855145985,sexism,"WomensDay, ","RT @meemee_im: She's the backbone of her family n the gentle heartbeat if her children, My rock n my only stable force\ud83d\udc95\n#WomensDay #Interna\u2026"
